,Unnamed: 0,country,latitude,longitude,name,process_date
98,98,ID,-0.789275,113.921327,Indonesia,2025-06-28
99,99,IE,53.41291,-8.243889999999999,Ireland,2025-06-28
100,100,IL,31.046051000000002,34.851612,Israel,2025-06-28
101,101,IM,54.236107,-4.548056,Isle of Man,2025-06-28
102,102,IN,20.593684,78.96288,India,2025-06-28
103,103,IO,-6.343194,71.87651899999999,British Indian Ocean Territory,2025-06-28
104,104,IQ,33.223191,43.679291,Iraq,2025-06-28
105,105,IR,32.427908,53.68804599999999,Iran,2025-06-28
106,106,IS,64.96305100000001,-19.020835,Iceland,2025-06-28
107,107,IT,41.87194,12.56738,Italy,2025-06-28
